skill_id,skill_name,domain,parent_skill,level,description
S110,problem solving,General,,Intermediate,Knowledge or competency in problem solving
S111,product design interview,General,,Intermediate,Knowledge or competency in product design interview
S112,programming fundamentals,General,,Beginner,Knowledge or competency in programming fundamentals
S113,programming principles,General,,Intermediate,Knowledge or competency in programming principles
S114,project,General,,Intermediate,Knowledge or competency in project
S115,propositional logic,General,,Intermediate,Knowledge or competency in propositional logic
S116,prototyping,General,,Intermediate,Knowledge or competency in prototyping
S117,public-key cryptography,General,,Intermediate,Knowledge or competency in public-key cryptography
S118,python,General,,Intermediate,Knowledge or competency in python
S119,python programming,General,,Intermediate,Knowledge or competency in python programming
S120,responsive design,General,,Intermediate,Knowledge or competency in responsive design
S121,responsive web design,General,,Intermediate,Knowledge or competency in responsive web design
S122,search algorithms,General,,Intermediate,Knowledge or competency in search algorithms
S123,sel in curriculum,General,,Intermediate,Knowledge or competency in sel in curriculum
S124,social emotional,General,,Intermediate,Knowledge or competency in social emotional
S125,social emotional learning,General,,Intermediate,Knowledge or competency in social emotional learning
S126,social media,General,,Intermediate,Knowledge or competency in social media
S127,software testing,General,,Intermediate,Knowledge or competency in software testing
S128,sql,Data Science,,Intermediate,Knowledge or competency in sql
S129,sql injection,Data Science,,Intermediate,Knowledge or competency in sql injection
S130,statistical analysis,Data Science,,Intermediate,Knowledge or competency in statistical analysis
S131,statistical hypothesis testing,General,,Intermediate,Knowledge or competency in statistical hypothesis testing
S132,statistics,Data Science,,Intermediate,Knowledge or competency in statistics
S133,strategies in teaching,General,,Intermediate,Knowledge or competency in strategies in teaching
S134,strategy interview,General,,Intermediate,Knowledge or competency in strategy interview
S135,string (computer science),General,,Intermediate,Knowledge or competency in string (computer science)
S136,supply chain,General,,Intermediate,Knowledge or competency in supply chain
S137,teaching and learning,General,,Intermediate,Knowledge or competency in teaching and learning
S138,team building,General,,Intermediate,Knowledge or competency in team building
S139,team management,General,,Intermediate,Knowledge or competency in team management
S140,text analysis,Data Science,,Intermediate,Knowledge or competency in text analysis
S141,time-series analysis with ml,Data Science,,Intermediate,Knowledge or competency in time-series analysis with ml
S142,usability,General,,Intermediate,Knowledge or competency in usability
S143,user experience (ux),General,,Intermediate,Knowledge or competency in user experience (ux)
S144,user interface,General,,Intermediate,Knowledge or competency in user interface
S145,user interface design,General,,Intermediate,Knowledge or competency in user interface design
S146,user interface design (ui design),General,,Intermediate,Knowledge or competency in user interface design (ui design)
S147,version control,General,,Intermediate,Knowledge or competency in version control
S148,warehouse management,General,,Intermediate,Knowledge or competency in warehouse management
S149,web development tools,General,,Intermediate,Knowledge or competency in web development tools
S150,world health organization analysis,Data Science,,Intermediate,Knowledge or competency in world health organization analysis
